source,paragraph
Christie,We leant together over the rail. It was a glassy calm. The sea
Christie,"“Certainly, M. le juge. I will fetch it immediately.”"
Conan Doyle,"in the corner which I had first chosen, inspiring pity by my ghastly"
Conan Doyle,and before he even knew that you had returned from Bristol?
Christie,his bended knees to me.”
Christie,“I want to apologize to you. I behaved like a perfect boor last
Christie,"maliciously. “How long are you going to stay at the Falls, Sir"
Christie,"“There must have been giants once,” I said dreamily. “And their"
Conan Doyle,"say that the marriage would be an absolutely quiet one, that it would"
Christie,show it much. Suzanne is just the sort of person who would clothe
Christie,befallen us—” His voice broke and the tears came into his eyes. “My
Conan Doyle,"tray on the bamboo table which stands at your left elbow."""
Conan Doyle,"door I seemed to hear a low whistle, such as my sister described, and a"
Conan Doyle,those dreadful hours might have been an evil dream.
Christie,"beat the ground appreciatively as the curtain fell with a swish,"
Christie,of mentioning her change of room. I suppose she took it for granted
Conan Doyle,reasonable.  Even Challenger was affected by the consideration that his
Christie,disappeared through the right-hand window; then in Cinderella’s clear
Christie,was just one sentence:
Christie,Our party soon broke up; Mrs. Blair went below to sleep and I went
Christie,“That’s a good boy!”
Christie,on at the Falls. It seems as though she couldn’t bear to take her
Christie,couldn’t help seeing what was written on the sheet of paper. There
Christie,mouth curved faintly upwards. Enthusiastic Frenchmen continued to
Christie,to the front door. The tree in question had its roots actually at the
Conan Doyle,"Cobb, the groom. Shortly after my return I heard the wheels of his trap"
Conan Doyle,"“That is a possible solution—in fact, as matters stand, it is the most"
Conan Doyle,"""In the face of specimens?"""
Christie,Country of Giant Children.’”
Conan Doyle,and had come upon me at last on the very morning of my second wedding.”
Christie,different. Yet I knew it! It was something I had smelt before.
Christie,"was a case in point. Had he varied his methods, he might have escaped"
Conan Doyle,"of his keen, questioning glances at her."
Conan Doyle,"was above and beyond us.  But McArdle was his first lieutenant, and it"
Christie,"affair, is at this minute in Johannesburg.”"
Conan Doyle,"“I think that I have seen now all that there is to see, Mr. Holder,”"
Conan Doyle,"Westhouse & Marbank, of Fenchurch Street, to say that the description"
Christie,I always know when I am beaten. I went down to the car with tears
Conan Doyle,"gloom, and then closing it once more hurry back to her room, passing"
Conan Doyle,"""No thought of it."""
Conan Doyle,"“I am Dr. Grimesby Roylott, of Stoke Moran.”"
Christie,doubt you have been employing your time to a marvel? You have the names
Christie,marked out with white stone on either side and led round the brink
Conan Doyle,So it seemed to us; and yet we were mistaken.  We had hardly closed the
Conan Doyle,and that there is inconceivably fine copy waiting for the world
Christie,“Giraud would say that he was an accomplice—an apache who helped young
Conan Doyle,"made ample amends.  Every one was on his feet.  Every one was moving,"
Christie,had said to them. They never seemed to read the papers or to care
Christie,He turned a reproachful eye upon me.
Conan Doyle,"what?  Where is the glamour of romance?  How did you get it?"""
Christie,"curse upon the house. But yes, I say it, a curse! They should send for"
Conan Doyle,"""We nearly killed you with a stone at the cave,"" he cried; ""but this is"
Conan Doyle,“And I feel dissatisfied. It is this infernal St. Simon marriage case.
Conan Doyle,"day, you understand. This year our good host, Windigate by name,"
Conan Doyle,companion. We soothed and comforted her by such words as we could find.
Conan Doyle,tightly in--his consistent view that every peril in life is a form of
Christie,A wild idea shot through my brain. I pushed the door open and went
Christie,  CHAPTER XXII
Conan Doyle,brandy and water within his reach.
Conan Doyle,opened it myself with the key of the box-room cupboard.’
Conan Doyle,changed him from the highest product of modern civilization to the most
Conan Doyle,"“And I say east,” said my patient."
Christie,"an attempt were made to get your secretary out of the way. Oh, you"
Christie,He called and two Kafirs appeared. I was taken upstairs. Despite
Christie,did not escape me. He was exultant about something. There was a
Christie,"“Pray be seated, monsieurs.”"
Christie,once savagely before he turned to the window again. Suddenly he
Conan Doyle,"tawny tinted, with hanging jowl, black muzzle, and huge projecting"
Conan Doyle,ones.  In size they were enormous.  Even the babies were as big as
Christie,"It was not a very lucid remark, but it was absolutely the only"
Christie,on the Monday morning.
Conan Doyle,quite close to where he stood hid behind the curtain.
Conan Doyle,"whatever her sins are, they will soon receive a more than sufficient"
Conan Doyle,"upon the second floor of the opium den, and who was certainly the last"
Conan Doyle,"“You will excuse my calling so late,” she began, and then, suddenly"
Christie,"Papa, and endeavoured to induce him to write a series of popular"
Christie,"on the following afternoon, struggling with a recalcitrant parasol"
Christie,"hotel I was going over to Nice for one night or possibly two. Then,"
Christie,"“Not very long,” I said cautiously."
Conan Doyle,“Have you dragged the basin of Trafalgar Square fountain?” he asked.
Conan Doyle,Challenger would come rolling and grumbling after.  By some good
Christie,of my immunity up to now. From last night till eleven this morning
Christie,"Mount Nelson Hotel at my expense, and we’ll plan out our campaign.”"
Conan Doyle,round the central lake to the caves where my observations had shown
Conan Doyle,XII. THE ADVENTURE OF THE COPPER BEECHES
Conan Doyle,"our shores, but each appeared to be in most excellent health.  As to"
Christie,"“It would hardly be respectable,” said Suzanne, dimpling. “I should"
Conan Doyle,sailing vessel which brought the writer.”
Christie,6 The Scene of the Crime
Conan Doyle,the work which has been done by their indigent and unknown brethren.
Conan Doyle,"“Yes, it would be as well.”"
Christie,“Jack!” With a cry she folded him in her arms. “My dearest! But what
Christie,rumour spreads until every one believes it as gospel truth. It
Christie,"reconstruction of the case? I will tell you—it does not fit in, and so"
Christie,Corner Tube Station and took a ticket to Gloucester Road.
Conan Doyle,"neck, shuffling about upon the margin.  Presently it plunged in, and"
Christie,"“All day long,” replied Sir Eustace gallantly."
Conan Doyle,"bamboo, like that which we had traversed in our journey.  Many of these"
Conan Doyle,"done all for which we had come, and that our first duty from that time"
Christie,“I see. Is that the only reason?”
Christie,"was at Cannes, I thought that this house-hunting business was a"
Christie,"and that the meeting was totally unexpected and alarming to him,"
Christie,Giraud shrugged his shoulders.
Christie,Mrs. James stared at me with awe.
Christie,"talking to some one outside, came back in obvious excitement. He"
Christie,"an affirmative answer to both questions. In that case, I might go"
Christie,_There has been another murder!___”
Christie,been extracted from him so far. And her clever brain takes in the
Conan Doyle,"lose sight of it on account of the tangled brush-wood, but I was always"
Conan Doyle,"“It is a noiseless lock,” said he. “It is no wonder that it did not"
Conan Doyle,There was some sympathetic laughter on his entrance among the front
Conan Doyle,"others, its height must do the same.  If the rim of the plateau was"
Christie,"appearance. For neatness of any kind, he had an absolute passion. To"
Conan Doyle,"give you such a two-edged thing, but I can’t say what turn things are"
Christie,By and by the character of the country changed. Great boulders
Conan Doyle,“God bless you! You are doing what you can for him and for me. But it
Christie,"mysterious Madame Daubreuil, was the small house from which the"
Conan Doyle,absolutely uncontrollable in his anger.
Conan Doyle,"are greater deeps beyond.  I shall hold myself strongly in leash, and"
Conan Doyle,"within fifty miles of town, chemistry eccentric, anatomy unsystematic,"
Christie,"thought himself, was he?"
Conan Doyle,“Of course! Very right! very right! I’m sure I beg pardon. As to my own
Conan Doyle,"gobbets of flesh, most of which was in the last state of putridity."
Conan Doyle,inquire as to the address.”
Conan Doyle,But I saw nothing. At the moment when Holmes struck the light I heard a
Conan Doyle,hideous uproar which had aroused us in the night.  The iguanodon glade
Christie,But there is a nostalgia upon him for his own country. Twenty years
Conan Doyle,The very next day we did actually make our start upon this remarkable
Conan Doyle,"the most rational remark which I had heard in Enmore Park.  ""Well,"" he"
Christie,perturbation to saddle me with the stationery trunk. Unless he is
Conan Doyle,"flippers behind the long serpent neck, that Challenger, and Summerlee,"
Conan Doyle,"that I was far from being out of danger yet. Suddenly, however, as I"
Christie,week’s episode. I used to come out with my head in a delirious
Christie,“There’s no earthly reason why I shouldn’t be.”
Christie,“And you can fix the time of this outrage?”
Conan Doyle,"onto the table, and cast his eyes round the room. All was as we had"
Christie,"With a little financial encouragement, I soon got him to talk."
Christie,"own good spirits, and Poirot’s suggestion that I was “fey.” What a long"
Christie,"I put on my hat and went out, intending to buy a few souvenirs."
Christie,"carelessly everywhere, marvellous garments of futuristic design"
Conan Doyle,prehistoric forms which have never come down to us.  It would be rash
Christie,thought at once there was something wrong by the way he looked
Conan Doyle,"it would be fine.  How does it appeal to you?"""
Christie,at a stroke she will attain wealth—not the beggarly thousands that have
Conan Doyle,"dressing-room. Petrified with astonishment, the lad slipped on some"
Christie,Suddenly he turned to me.
Christie,and I always reflect what a fortunate circumstance it was that they
Christie,"wall, that it would rub up and down on my bonds. It was a long"
Christie,Sir Eustace’s attempts on my life have always puzzled me. They are
Conan Doyle,"quarter to eight, after a prolonged melee in which several people were"
Christie,"“Have you not rendered it impossible, _mon ami?___”"
Christie,the cradle of an aristocratic family. (Missing heir? Claimant to
Conan Doyle,"father of all birds!"""
Conan Doyle,"“‘Oh, no, it is in the house.’"
Christie,slighting terms of the mystery surrounding the lives of the mother and
Conan Doyle,line which I saw with delight belonged to a man with naked feet. I was
Christie,"comfortable chair, and closed his eyes. “By all means, my friend. Au"
Conan Doyle,at £ 2 a week when I knew that I could earn as much in a day by
Conan Doyle,"down as if it had been a sapling.  The action seemed, as I thought, to"
Christie,"of the time, but every now and then, when my husband least expects"
Christie,"interrogations, and I need hardly say that if there is any assistance"
Conan Doyle,found Challenger kneeling beside me.
Christie,"“You can produce those letters, eh?” said Giraud."
Conan Doyle,"choice but to adopt them, for he was prepared to abandon the whole"
Christie,I uttered an involuntary exclamation. Pagett stopped inquiringly.
Christie,"“To see its effect, you mean?”"
Conan Doyle,"“Very good. Now, Mr. Wilson?”"
Conan Doyle,"myself. And now—and now I am myself a branded thief, without ever"
Christie,suspect her of being concerned in the crime. Afterwards I altered my
Christie,"eyes off Race. She came to me to-night and said, with some"
Christie,white as a sheet.”
Christie,"I rallied myself with an effort. After all, what could they do? I"
Conan Doyle,This time it was Summerlee.  Two of his guards caught him by the wrists
Conan Doyle,miles from the village. The place we want must be somewhere near that
Conan Doyle,"“Do you know, Watson,” said Holmes as we sat together in the gathering"
Conan Doyle,"I have taken it out, and I have got it in this Gladstone bag. Come on,"
Christie,You remarked the postscript? How did it strike you?”
Christie,marriage between M. Renauld’s son and her daughter. But the cause of
Conan Doyle,"wake you. This case, I presume, contains the coronet. We must have a"
Christie,people who wish to be quiet are taking it up. M. Renauld has a house in
Conan Doyle,sofa is very much superior to the usual country hotel abomination. I do
Christie,"“What do you know, then?”"
Christie,"and he sank into an arm-chair, feeling his arms tenderly."
Conan Doyle,"""Here is a summary of his record.  I give it you briefly:--"
Christie,"death of M. Renauld. You have heard of it, no doubt?”"
Christie,“Won’t you tell me what those reasons were?”
Conan Doyle,"""Will you come to the meeting?"" I asked."
Christie,The _sergent de ville___ drew himself up.
Christie,"officious, interfering asses—going about with the air of a martyr,"
Christie,“Yes. I suppose that means that I shan’t be allowed to go to
Conan Doyle,"the cliff, and within call of me, was waiting the faithful Zambo.  I"
Conan Doyle,"that unerring rifle.  When we had at last reached the camp, we looked"
Christie,"name he marries, and finally acquires a vast fortune in South America."
Conan Doyle,What if these also were to be found in the woods of Maple White Land!
Christie,"If my deductions were wrong, if nothing happened at one o’clock,"
Conan Doyle,"there glimmered little red circles of light, now bright, now faint, as"
Christie,"    was frantic. You must suspect, or you wouldn’t have tracked us"
Conan Doyle,"before, which were quite as prompt. My whole examination served to turn"
Conan Doyle,"see whether by this self-restraint I attain a more favorable result."""
Conan Doyle,"“I searched the Dundee records, and when I found that the barque _Lone"
Conan Doyle,"together beside the water, while the whole circle of sentinels rose one"
Conan Doyle,"wings were closed by folding their fore-arms, so that they sat like"
Conan Doyle,"assertions which are not in strict accordance with scientific fact."""
Christie,"As usual, this remark roused my argumentative faculty."
Conan Doyle,"boots, his socks, his hat, and his watch—all were there. There were no"
Christie,"I see now, though I did not realize it at the time, that that was"
Conan Doyle,and blinked and bowed until his colleague turned and walked away.
Conan Doyle,"with tree-ferns scattered amongst them, all of them swaying in a brisk"
Conan Doyle,“What of this ‘Cooee!’ then?”
Christie,Kimberley affair. And now we’ll talk. I’ll drive a bargain with
Conan Doyle,"tendency of the sea creatures to take refuge upon the mud-flats, the"
Christie,"“Mother,” cried the boy. “You too! Marthe is as good as she is"
Conan Doyle,rather have that one I was handling just now.’
Christie,"M. Giraud, but I, Hercule Poirot, know the mind of man!” And the"
Conan Doyle,"""Your common sense will, I am sure, sustain my objection and realize"
Conan Doyle,"for my own purposes, and the rascally Lascar who runs it has sworn to"
Christie,"“There is old Françoise, the housekeeper, she lived for many years with"
Conan Doyle,"""We have seven more minutes,"" said he.  ""The old dear is very precise."""
Conan Doyle,"But, still, whatever your motive, I am glad that you went down that"
Christie,Daubreuil (I shall call her that for clearness sake) murder M. Renauld?
Christie,"it’s reprehensible, but there it is. I admired him. He was a"
Conan Doyle,"paused, hardly able to move.  For a moment I thought that I had thrown"
Christie,air. I suggested leaving to Poirot.
Conan Doyle,"moustache; tinted glasses, slight infirmity of speech. Was dressed,"
Conan Doyle,"“See that you keep yourself out of my grip,” he snarled, and hurling"
Christie,just as easily be opened from outside—by some one who possessed a key.”
Conan Doyle,"Sherlock Holmes’ quick eye took in my occupation, and he shook his head"
Conan Doyle,His good-humor returned and he laughed.
Conan Doyle,the light and attacked it.”
Christie,"“I cannot congratulate you upon your manners,” I said coldly."
Conan Doyle,is let loose at night to prevent him from endeavouring to communicate
Conan Doyle,longer distinguish details.  Then I climbed down to my companions
Christie,"“You had a great success to-night,” he remarked. “I congratulate"
Christie,clock recording the exact hour of a crime? So that the time should not
Christie,that I am ‘The Man in the Brown Suit.’”
Conan Doyle,shelf one of the ponderous commonplace books in which he placed his
Christie,possession. He was valiantly shielding the woman he had once loved—but
Conan Doyle,"clothes of Mr. Neville St. Clair, with the exception of his coat. His"
Christie,"wanted one! I had the firm conviction that, if I went about looking"
Conan Doyle,"showing that it has been hung up indoors most of the time, while the"
Christie,"Young Renauld remained silent, his boyish face sullen and overcast. But"
Conan Doyle,"    me in completely. Until after the alarm of fire, I had not a"
Christie,having. I was given to understand that the gentleman had been
Conan Doyle,"was the matter, and why I was so pale; but I told her that I had been"
Conan Doyle,"“‘It would be injustice to hesitate,’ said he. ‘You will, however, I am"
Conan Doyle,"there, where is he now, and what Hugh Boone had to do with his"
Conan Doyle,done lived after them.  By no possible means could we get back to the
Conan Doyle,"mount them.  Inside they were warm and dry, running in straight"
Conan Doyle,"world below, we entered a region where the stream widened out and"
Christie,"“Yes,” I said. “Sir Eustace Pedler.”"
Christie,"“You look a perfect wreck still, my dear chap,” I said easily."
Christie,M. Bex had been thinking.
Conan Doyle,"see it, too.  In the deep shadow of the tree there was a deeper shadow"
Christie,"appeared in the doorway. She was very pale, but resolute. Behind her,"
Conan Doyle,“Who ever heard of such a mixed affair? Every clue seems to slip
Christie,myself together. I had not come here to comment on Lord Nasby’s
Conan Doyle,brother and sister; but of course he is young and has seen very little
Christie,“I suppose he came into a lot of money as Sir Laurence Eardsley’s
Conan Doyle,the key in the door. I have no doubt at all that he had left it there.
Conan Doyle,   VIII.  The Adventure of the Speckled Band
Christie,"“Well,” I said, stifling a yawn, “for that matter, no more would"
Conan Doyle,"""So in my simplicity, I had imagined,"" said the Professor, bitterly."
Christie,of taking an intelligent interest in things when most girls would
Christie,“You haven’t thanked me yet for saving your life?” I said with
Christie,"entrance of the tent, and he darted in and seized his rifle. When"
Conan Doyle,"me. The tree was, however, enormous, and, looking upwards, I could see"
Conan Doyle,events leading from a rifled jewel-case at one end to the crop of a
Christie,“That’s real nice of you. I’ll tell her what you say. But I don’t fancy
Christie,"man had paid his debts twice, he refused to do so again. There was"
Conan Doyle,"Chicago Democrat, though the date had been obliterated."
Christie,"A master touch that, I thought."
Conan Doyle,"was not the result of any convulsion, as in the case of the ascending"
Conan Doyle,"salesman, framed in the door of his stall, was shaking his fists"
Christie,“Because the old man was rattled! I don’t know what it was all about.
Christie,"covering. Renauld was a man of medium height, slender and lithe in"
Conan Doyle,"“And yet I am not convinced of it,” I answered. “The cases which come"
Christie,The only thing that livened up the day was a wire dispatched from
Conan Doyle,"Summerlee, and for the first time I seemed to see some signs of a"
Conan Doyle,"Westaway’s, and there I used to call about once a week in order to see"
Christie,"distraught, as one who had wooed sleep in vain for several nights. He"
Christie,"hands, you understand? The _Kilmorden Castle_ sails on Saturday—quite"
Christie,not have been in Jack Renauld’s possession that evening. Mrs. Renauld
Conan Doyle,"“Yesterday, however, just as I was thinking of leaving the office, my"
Conan Doyle,                    Or the man who's half a boy.
Christie,"“He was clean-shaven, you say?”"
Christie,No scruples about not handing it over to the police?”
Conan Doyle,"ejaculation or cry, and was struck cold to see her husband looking down"
Christie,"missive, and handed it to Poirot."
Conan Doyle,reach the ground Lord John had run along the edge of the plateau and
Conan Doyle,“Yes; it struck me as being a little out of the common.”
Christie,shrieked. People came running up. Two station officials seemed to
Christie,I shook my head perplexed.
Conan Doyle,at his hair like one who has been driven to the extreme limits of his
Christie,express my theories. Injured dignity went to the wall.
Christie,easy enough for him to sling me overboard with a sudden heave. The
Conan Doyle,sensation so dramatic that it can never have been paralleled in the
Conan Doyle,I shouldn't be quite George Edward Challenger.  There are plenty of
Conan Doyle,"“I could hardly imagine a more damning case,” I remarked. “If ever"
Christie,So it came about that I was standing in the doorway of the hotel
Christie,"way, but dull as ditch water. One of these strong silent men that"
Christie,detective?” interposed M. Bex.
Conan Doyle,"suspect Tarp Henry was right in his surmise, and that this assemblage"
Conan Doyle,"She smiled, but there was no answering smile in Holmes’ thin, eager"
Christie,"Just to annoy him, I shall ask the girl. As I said before, she has"
Conan Doyle,"out to him, he set off in my company for his chambers."
Conan Doyle,"his way back to his train.  Well, we are well down Channel now."
Christie,“Of course it is. He’s subject to them.”
Conan Doyle,them were of the war time and showed that he had done his duty well and
Conan Doyle,"district, called locally the Gapo, which is for the most part too"
Christie,"“Anyway,” I continued, “if you went worrying some poor devil who"
Christie,out a plan I had formed coming home. I wanted to know what it was
Conan Doyle,which runs down the Boscombe Valley. He had been out with his
Conan Doyle,"""Well, it is a translation."""
Christie,"of what we might call his ‘profession.’ Jewel robberies, forgery,"
Christie,"“There was no need,” he replied grimly. “I found him collapsed by"
Christie,"scruples are satisfied, let us depart immediately. There is no time to"
Conan Doyle,now—so far as it has been set forth in the public press.”
Christie,"with grey, and that, in point of fact, it was a mere boy who now burst"
Christie,gardener—but I support him in idleness and give him the lodge to
Conan Doyle,"and the billet was such a good one, and suited me so well, that I would"
Conan Doyle,"“Oh, fresh and glossy.”"
Christie,pointed out to Mrs. Blair that by the time she has got them home
Christie,hand all the afternoon.”
Christie,charm was of the quality which is independent of age.
Christie,"“Once you are completely restored to health, you can journey"
Conan Doyle,"ranges from seventy-five to ninety degrees both summer and winter, with"
Conan Doyle,ensue if any misfortune should occur to it. I already regretted having
Christie,habit of producing Anne Beddingfeld from my pocket at midnight or
Conan Doyle,circumstantial evidence pointed to a criminal it does so here.”
Christie,"“Your point of view always depresses me, my child. We must not be"
Christie,I went home with a feeling of exultation. My scheme had succeeded
Conan Doyle,"that he is in serious trouble and likely to be hanged, has thrown him"
Christie,"Cinderella’s voice, calm and dispassionate, came from the window:"
Conan Doyle,"As he spoke he drew the dog-whip swiftly from the dead man’s lap, and"
Conan Doyle,"singular character the dual nature alternately asserted itself, and his"
Christie,"and was just telling the head waiter what he thought about it, and"
Conan Doyle,nothing to do with my narrative; and yet there would have been no
Conan Doyle,practise to do it without hurting oneself.  The chair went to matchwood
Conan Doyle,number of men with long purses and expensive habits. He learned to play
Christie,I wanted to do the thing on my own.
Conan Doyle,spring. Two days ago some repairs were started in the west wing of the
Christie,"“No,” I replied with some ill humour. “I neither see nor comprehend."
Christie,films being thrown through a porthole in the middle of the night
Christie,"I bounded indignantly in my seat, but the examining magistrate was"
Conan Doyle,"to strengthen his position?"""
Conan Doyle,suddenly an idea came into my head which showed me how I could beat the
Christie,"acquitted. Despite the utmost endeavours of the police, Georges Conneau"
Christie,"“We’ve got to swim for it. Can you swim at all, Anne? Not that it"
Conan Doyle,and eight months have elapsed since then. During that time I have lived
Christie,“It isn’t as though you weren’t so pretty that you can afford to do
Christie,“Do you mean—that it was with an aeroplane wire paper cutter that my
Conan Doyle,"right path it would have been she, and that his marriage might have"
Christie,"short. Put those two facts together with a third, namely that M. Jack"
Christie,“I cannot understand him. He seems incapable of putting up any sort of
Christie,people. He could not say when he had worn them last. Certainly he had
Conan Doyle,dramatic in its details that it may be the more worthy of being placed
Christie,"I could manage, “I don’t know Lord Loamsley, and he certainly knows"
Conan Doyle,"behind there came ever the one message from our fellow-man.  ""We will"
Christie,"to go. That is all, only—I am almost sure that the tramp and the dead"
Christie,she was the kind of woman who deserved to die. Men do all sorts of
Christie,to carry out my schemes myself. Always employ the expert—that has
Conan Doyle,"“Good-evening, Mr. James Windibank,” said Holmes. “I think that this"
Christie,"“You think so? _Eh bien___, I agree with you,” said Poirot."
Christie,"personage came upon the scene. This was Mr. Hiram P. Trapp, a native of"
Christie,"“M. le juge, I propose to remain. I did not arrive in time to prevent"
Christie,“Ah!” I said. “You’ve been talking to Rayburn.”
Christie,"“_24th May.___ M. Renauld alters his will, leaving entire control of"
Conan Doyle,will open. You are to station yourself close to that open window.”
Conan Doyle,"order, the whole tribe lay down upon the ground before us in homage."
Conan Doyle,"I'm safe in this cage, and you are not.  So long, and I'll be back in"
Conan Doyle,"for the Press, it is estimated that nearly five thousand people awaited"
Conan Doyle,"Sherlock Holmes’ succinct description, but the locality appeared to be"
Conan Doyle,"""It is a waste of energy to do anything else,"" growled Summerlee from"
Conan Doyle,Remember the card upon the bird’s leg.”
Conan Doyle,"that Lady St. Simon was decoyed away by Flora Millar, and that she,"
Conan Doyle,show such a tendency to upward movements that Challenger fastened the
Conan Doyle,in which for a time we hardly held our own.  Springing out from among
Conan Doyle,"was never any mystery in the matter, though, as I said yesterday, some"
Conan Doyle,"crashing and a rending, a thudding of giant feet and a panting of"
Conan Doyle,to understand the situation.”
Christie,covered in dust from rolling about in the attic. At last I came to
Conan Doyle,that evolution has advanced under the peculiar conditions of this
Conan Doyle,"character. His tangled beard, grizzled hair, and outstanding, drooping"
Conan Doyle,"“‘There is a drive, then?’"
Conan Doyle,"frontiersman from the extreme edge of the Knowable, and I feel quite"
Christie,“It was—but how did you know?”
Christie,"against me. My enemies were all around me in every direction, and"
Conan Doyle,criminals of London should take a considerable interest in this cellar
Conan Doyle,"cargoes of white-bearded professors, while the dark stream of humbler"
Christie,"Yes, on the whole I inclined to the theory of buried treasure."
Conan Doyle,"And so, amid shouting and cheering, our fate was decided, and I found"
Christie,"to the Java skull, but superficial—superficial only. No, here we"
Christie,"she should have control of the money, so he alters his will. How they"
Conan Doyle,"“The case has been an interesting one,” remarked Holmes when our"
Christie,scrawled those four desperate words.”
Conan Doyle,chocolate-brown in color; the vegetation was more scattered along the
Christie,I had got to this point in my argument.
Conan Doyle,"that was our one safety, and every strained situation was relieved by"
Conan Doyle,"“The young lady came to London, then, and you renewed your"
Conan Doyle,"She laughed at my sudden Irish effervescence.  ""Why not?"" she said."
Christie,Jack shrugged his shoulders. “Every one may have a difference of
Conan Doyle,"watch, to prove that it had been wound up two hours before, and that"
Christie,into the flesh. That ruled out the possibility of her having committed
Christie,starting for Merlinville to rejoin Marthe and his mother. Stonor
Conan Doyle,"liquid eyes, the full but exquisite lips,--all the stigmata of passion"
Conan Doyle,a cart containing several people and some very bulky boxes driving
Christie,“Perhaps you didn’t search very thoroughly.”
Conan Doyle,"the evening, so that I must look after the child. Now I have told you"
Conan Doyle,make my own way in the world.’
Conan Doyle,"weakening nature. On the other hand, he has endeavoured to conceal some"
Conan Doyle,"have hoped to find a clue in the incoherent ramblings of these sots, as"
Conan Doyle,occurred no great time before.
Christie,"hair. It is black—a real black, not dark brown, and it grows well"
Christie,Suzanne did not fail in her rôle.
Christie,heard that Miss Beddingfeld is alive and kicking?”
Conan Doyle,"fit of anger, however, caused by some robberies which had been"
Conan Doyle,from the stall which we had just left. Turning round we saw a little
Christie,I nodded. His tone was too affectionate for me to bear resentment. I
Conan Doyle,"who thrust her back and, aided by a Dane, who acts as assistant there,"
Christie,was not nearly so amusing as I had imagined. It’s all very well on
Christie,"organize a boot factory. Without committing himself, he has planned"
Conan Doyle,"the brook which was my guide.  So, with many a frightened backward"
Conan Doyle,"Our friends at home may well rejoice with us, for we are at our goal,"
Christie,“Without doubt it is not all stupidity. He has had _la mauvaise
Conan Doyle,"dead man was a European.  A gold watch by Hudson, of New York, and a"
Conan Doyle,"then looked at us and asked some questions, after which he stepped up"
Christie,and I. We had our love of South Africa in common and we both had
Conan Doyle,So there the matter stands.  Are we really just at the edge of the
Christie,"one of these places, and ask them to lend me some kind of a woman"
Conan Doyle,"writhed as one who is in terrible pain, and her limbs were dreadfully"
Conan Doyle,"“Fine birds they were, too. Now where did you get them from?”"
Christie,England’s greatest living authorities on Primitive Man. He really
Christie,"_He_ flushed this time, a deep burning blush. The tan of his face"
Christie,"The letter was written on a foreign type of paper, in a bold"
Conan Doyle,"“At the same time,” he remarked after a pause, during which he had sat"
Conan Doyle,"which we were discussing our plans, and, being observed by our huge"
Conan Doyle,“Very good. Your windows would be visible from there?”
Conan Doyle,"“‘No, I forbid you. I won’t have a fuss made about such nonsense.’"
Conan Doyle,"plunged in from the bank.  Once a dark, clumsy tapir stared at us from"
Christie,"we had seen in the outhouse in his hand. From this, he took the dagger."
Conan Doyle,house I saw a tall man in a Scotch bonnet with a coat which was
Christie,a telegram in his hand and a face as long as a mute at a funeral.
Christie,came to matching them against his. Poirot would not take defeat lying
Conan Doyle,doubtless heard of the Beryl Coronet?’
Conan Doyle,"torn by a bite.  In my own case, I was beaten about the head by their"
Conan Doyle,the fact that Lord John Roxton was one of the great all-round sportsmen
Christie,“neat little waist” since I was in my cradle.
Christie,It was on the fourth day that the stewardess finally urged me up
Christie,"nice trip. We wound slowly round the base of Table Mountain, and"
Christie,breakfast. I thought at first that it was a melon gone bad. The
Conan Doyle,absolutely all that my profession has brought me. My gross takings
Christie,some small hotel in the town. I can alter my appearance a
Conan Doyle,"hair is somewhat luxuriant, and of a rather peculiar tint of chestnut."
Conan Doyle,"the sound of running feet and the shouting of two voices, one answering"
Conan Doyle,“The instant that I uttered the words I regretted the rashness of my
Conan Doyle,"powerful magnifying lens. “Now we shall go upstairs,” said he at last."
Christie,"carry weight. But if they were in touch with Pagett, they might"
Conan Doyle,"“Well, it is just as I have been telling you, Mr. Sherlock Holmes,”"
Conan Doyle,"business has not been over good for some years, and an extra couple of"
Christie,"M. Hautet nodded to the commissary, and the latter took up the tale:"
Christie,Suddenly the door burst open and the commissary rushed in.
Christie,I endeavoured conscientiously to do as he had said. After a moment or
Christie,"He was wearing his most innocent air, and staring meditatively into the"
Christie,down with a sort of contemptuous disfavour.
Conan Doyle,"“At least,” said I as we heard her quick, firm steps descending the"
Christie,await you Buenos Ayres. Do not fail. Matter is of utmost importance.
Christie,I have confused memories of the further events of that night. Poirot
Conan Doyle,"while his eyes travelled round and round and up and down, taking in"
Christie,"“It does gain,” she admitted, “but I’ve never known it to gain quite so"
Conan Doyle,endured.  Each is in his own way a better and deeper man.  It may be
Conan Doyle,"speech of his new client. He looked her over in his searching fashion,"
Christie,Sir Eustace sighed heavily.
Christie,but that old stick-in-the-mud of a French gendarme wasn’t taking any. I
Christie,"“Then the beginning, now the end,” he moralized, as we rang the bell."
Conan Doyle,and the thirty-six stones were the finest that I have ever seen. At one
Christie,“We were both reckless—anxious to get killed. One night we exchanged
Christie,"“It is deplorable,” said M. Hautet, his sternness of manner returning."
Conan Doyle,"“Now, it is a fact, gentlemen, as you may see for yourselves, that my"
Christie,Whilst occupied with my thoughts I had arrived at the low
Christie,"quarrelling and making it up again. We bickered a good deal, but"
Christie,soon see about that. And we’ll see who he is too.”
Christie,The woman was quite indignant. And yet everybody knows that
Conan Doyle,"of forest, life, which abhors darkness, struggles ever upwards to the"
Conan Doyle,"never sold upon hats. If this man ordered one, it is a sign of a"
Conan Doyle,who have risked their lives to open new fields to science.  You
